Imię;Nazwisko;Narodowość;Data urodzenia;Miejsce urodzenia;Pesel;Nr telefonu;Adres zamieszkania;ID;Historia leczenia;Przyjmowane leki
Kornelia;Jakubowski;polska;04.05.2018;Sokółka;18250418067;507742862;Gdańsk, ul.Kołobrzeska 25/4;96;szczepienie przeciw COVID, rozpoznanie zapalenia oka, teleporada, teleporada;Sennostart, Apaton, Neptunox, Letrox, Tabletex, Apaton
Kornelia;Witkowski;polska;20.09.1946;Piechowice;46092038569;548965333;Sopot, ul.Kołodziejska 27/4;97;szczepienie przeciw COVID, rozpoznanie zapalenia ucha, rozpoznanie zapalenia oka, rozpoznanie zapalenia zatok;Kaszelix, Pryszczosiox, Szelazo, Dobrovit, Formetic, Saturnox
Kornelia;Baran;polska;28.06.2015;Pelplin;15262867746;915471048;Gdańsk, ul.Kołłątaja 5/11;98;teleporada, teleporada, rozpoznanie ospy, rozpoznanie zapalenia ucha;Katarix, Eltroxin, Pigulex, Syropex, Biegunex, Javonex
Korneliusz;Ostrowski;polska;16.08.1992;Pogorzela;92081624912;870656823;Gdańsk, ul.Kościelna 60/13;99;teleporada, wizyta kontrolna, rozpoznanie grypy, szczepienie przeciw COVID;Bezanielox, Neurospam, Neurospam, Neptunox, Pryszczosiox, Siofor
Krystyna;Andrzejewska;polska;29.10.1953;Janowiec Wielkopolski;53102943500;622777843;Gdańsk, ul.Kościerska 39/5;100;wizyta kontrolna, rozpoznanie grypy, rozpoznanie zapalenia ucha, wizyta kontrolna;Modulox, Szelazo, Squlex, Javonex, Cholerox, Javonex
Krzysztof;Górecki;polska;06.02.1993;Wodzisław Śląski;93020627757;861343383;Gdańsk, ul.Kościuszki 46/12;101;szczepienie przeciw grypie, rozpoznanie grypy, rozpoznanie zapalenia oka, rozpoznanie grypy;Luxon, Letrox, Kaszelix, Uranox,  Xarelto, Neurospam
Leonardo;Andrzejewski;polska;13.12.1982;Strzelin;82121394996;585588412;Gdańsk, ul.Kościuszki 39/6;102;rozpoznanie anginy, rozpoznanie zapalenia oka, szczepienie przeciw grypie, rozpoznanie zapalenia zatok;Siofor, Biegunex, Zaparciovit, Uroksyt, Formetic, Zaparciovit
Leonardo;Borkowski;polska;20.09.1957;Pełczyce;57092060498;506945086;Sopot, ul.Kościuszki 37/9;103;szczepienie przeciw COVID, rozpoznanie grypy, wizyta kontrolna, teleporada;Pryszczosiox, Pigulex, Katarix, Strzykawex, Exelix, Cholerox
Lidia;Dąbrowski;polska;23.07.1980;Czarnków;80072382004;954040516;Gdańsk, ul.Kościuszki 27/7;104;rozpoznanie zapalenia oka, teleporada, rozpoznanie zapalenia zatok, wizyta kontrolna;Javonex, Cholerox, Letrox, Luxon, Squlex, Uroksyt
Lidia;Górecki;polska;07.03.1944;Brwinów;44030712520;612506607;Gdańsk, ul.Kramarska 50/16;105;rozpoznanie zapalenia oka, rozpoznanie ospy, wizyta kontrolna, szczepienie przeciw COVID;Kaszelix, Sennostart, Squlex, Pryszczosiox, Exelix, Squlex
Lidia;Sikora;polska;17.08.1969;Czerwieńsk;69081738482;571251070;Gdańsk, ul.Krasickiego 51/14;106;szczepienie przeciw grypie, teleporada, szczepienie przeciw grypie, rozpoznanie anginy;Javonex, Exelix, Eltroxin, Pigulex, Formetic, Kaszelix
Liliana;Ostrowski;polska;06.07.1944;Stęszew;44070649868;846875416;Gdynia, ul.Krasickiego 44/15;107;rozpoznanie zapalenia ucha, rozpoznanie zapalenia ucha, rozpoznanie zapalenia zatok, rozpoznanie grypy;Sennostart, Zaparciovit, Squlex, Uranox, Saturnox, Syropex
Liliana;Piotrowski;polska;23.07.1970;Ciężkowice;70072354145;517631767;Gdynia, ul.Krasickiego 50/16;108;rozpoznanie zapalenia zatok, rozpoznanie zapalenia oka, rozpoznanie anginy, szczepienie przeciw grypie;Sennostart, Syropex, Eltroxin, Kaszelix, Javonex, Eltroxin
Liliana;Jasińska;polska;29.06.1931;Braniewo;31062964645;977943079;Gdańsk, ul.Kraszewskiego 8/7;109;rozpoznanie ospy, teleporada, rozpoznanie zapalenia oka, teleporada;Modulox, Bezanielox, Saturnox, Biegunex, Siofor, Formetic
Lucjan;Szczepański;polska;31.08.1933;Otwock;33083191312;859308203;Gdańsk, ul.Krosienka 68/3;110;rozpoznanie ospy, rozpoznanie grypy, rozpoznanie anginy, rozpoznanie anginy;Neptunox, Pythonex, Eltroxin, Biegunex, Pythonex, Squlex
Łukasz;Sadowska;polska;11.10.2015;Złocieniec;15301163277;995230942;Gdańsk, ul.Krosna 43/17;111;rozpoznanie grypy, teleporada, rozpoznanie zapalenia ucha, teleporada;Zaparciovit, Letrox, Tabletex, Apaton, Dobrovit, Letrox
Magda;Czarnecka;polska;12.10.2001;Paczków;01301287666;730863876;Gdańsk, ul.Krowia 23/2;112;rozpoznanie zapalenia ucha, rozpoznanie anginy, szczepienie przeciw grypie, rozpoznanie zapalenia zatok;Apaton, Uranox, Saturnox, Tabletex, Nerwostop, Katarix
Maksymilian;Wysocki;polska;28.09.1952;Lublin;52092868916;894596006;Gdańsk, ul.Krowoderska 58/15;113;teleporada, szczepienie przeciw grypie, rozpoznanie zapalenia oka, rozpoznanie grypy;Syropex, Javonex, Katarix, Apaton, Formetic, Javonex
Malwina;Zalewski;polska;05.05.1994;Frampol;94050522960;959101356;Gdańsk, ul.Kryniczna 16/10;114;rozpoznanie zapalenia ucha, teleporada, szczepienie przeciw grypie, rozpoznanie ospy;Luxon, Saturnox, Apaton, Uroksyt, Kaszelix, Cholerox
Małgorzata;Sikora;polska;28.05.1981;Piekary Śląskie;81052813165;501579588;Gdynia, ul.Krzemienieckiej 11/5;115;rozpoznanie anginy, szczepienie przeciw grypie, szczepienie przeciw COVID, rozpoznanie zapalenia oka;Cholerox, Zaparciovit, Neurospam, Luxon, Sennostart, Formetic
Marcela;Andrzejewska;polska;13.03.1949;Lidzbark Warmiński;49031329106;707905336;Gdańsk, ul.Krzywa 2/13;116;rozpoznanie grypy, szczepienie przeciw grypie, szczepienie przeciw grypie, rozpoznanie anginy;Letrox, Kaszelix, Pryszczosiox, Neptunox, Strzykawex, Apaton
Marcelina;Stępień;polska;22.07.1948;Nowogród;48072265943;790241365;Sopot, ul.Krzywoustego 8/18;117;rozpoznanie anginy, rozpoznanie zapalenia oka, szczepienie przeciw COVID, szczepienie przeciw grypie;Uranox, Eltroxin, Pigulex, Neurospam, Nerwostop, Neptunox
Marcelina;Krupa;polska;28.06.1950;Bydgoszcz;50062813865;742629309;Gdańsk, ul.Królikarnia 54/15;118;rozpoznanie zapalenia ucha, rozpoznanie anginy, rozpoznanie zapalenia oka, rozpoznanie zapalenia ucha;Biegunex, Syropex, Saturnox, Cholerox, Modulox, Neurospam
Marcin;Sokołowski;polska;05.06.1987;Janów Lubelski;87060587836;911245031;Gdańsk, ul.Królikarnia 19/15;119;wizyta kontrolna, rozpoznanie zapalenia oka, rozpoznanie grypy, rozpoznanie grypy;Eltroxin, Strzykawex, Modulox, Biegunex, Katarix, Modulox
Marcin;Jasiński;polska;23.09.1994;Jasień;94092369790;836386797;Gdańsk, ul.Królowej Jadwigi 39/14;120;teleporada, rozpoznanie grypy, wizyta kontrolna, wizyta kontrolna;Eltroxin, Neurospam, Siofor, Apaton, Uroksyt, Luxon
Marek;Stępień;polska;06.05.2003;Prusice;03250611459;879838675;Gdańsk, ul.Krótka 15/12;121;rozpoznanie ospy, rozpoznanie ospy, rozpoznanie ospy, rozpoznanie ospy;Sennostart, Katarix, Neptunox, Sennostart, Syropex, Saturnox
Marian;Górski;polska;13.08.1962;Zabłudów;62081359376;721994245;Gdańsk, ul.Kręckiego 59/7;122;rozpoznanie zapalenia zatok, rozpoznanie zapalenia oka, rozpoznanie zapalenia zatok, szczepienie przeciw grypie;Squlex, Squlex, Letrox, Biegunex, Letrox,  Xarelto
Mariusz;Włodarczyk;polska;16.02.1950;Rajgród;50021612218;764216155;Sopot, ul.Kręta 49/6;123;teleporada, rozpoznanie zapalenia ucha, teleporada, rozpoznanie zapalenia oka;Biegunex, Syropex, Nerwostop, Neurospam, Szelazo, Luxon
Martyna;Sadowska;polska;08.12.2004;Golina;04320877584;607517365;Gdańsk, ul.Książąt Pomorskich 36/6;124;szczepienie przeciw COVID, teleporada, rozpoznanie grypy, rozpoznanie grypy;Strzykawex, Bezanielox, Bezanielox, Cholerox, Pryszczosiox, Formetic
Martyna;Sikorska;polska;20.06.2004;Brzeszcze;04262012645;937080963;Gdańsk, ul.Księża 31/19;125;teleporada, szczepienie przeciw COVID, rozpoznanie grypy, rozpoznanie grypy;Dobrovit, Syropex, Sennostart, Katarix, Uroksyt, Apaton
Milena;Kozłowski;polska;01.02.1969;Daleszyce;69020167223;535739463;Gdańsk, ul.Ku Ujściu 34/6;126;wizyta kontrolna, rozpoznanie ospy, szczepienie przeciw COVID, rozpoznanie zapalenia ucha;Squlex, Siofor, Pryszczosiox, Uroksyt, Kaszelix, Strzykawex
Miron;Jaworski;polska;22.01.1993;Hajnówka;93012223752;639675551;Gdynia, ul.Kubacza 38/12;127;rozpoznanie anginy, teleporada, teleporada, rozpoznanie zapalenia zatok;Pythonex, Formetic, Tabletex, Katarix, Bezanielox, Neptunox
Mirosław;Czarnecki;polska;18.04.1992;Świdnica;92041848639;708812632;Gdynia, ul.Kubacza 15/17;128;rozpoznanie zapalenia zatok, rozpoznanie anginy, rozpoznanie zapalenia zatok, rozpoznanie zapalenia ucha;Saturnox, Uranox, Biegunex, Uranox, Uroksyt, Squlex
Mirosława;Zakrzewska;polska;14.03.1943;Alwernia;43031476165;751482564;Gdańsk, ul.Kujawska 44/10;129;wizyta kontrolna, rozpoznanie anginy, rozpoznanie ospy, rozpoznanie zapalenia oka;Eltroxin, Letrox, Dobrovit, Biegunex, Pythonex, Katarix
Monika;Sadowska;polska;22.06.2004;Piotrków Trybunalski;04262225300;768910349;Gdańsk, ul.Kumoszek 30/8;130;szczepienie przeciw grypie, teleporada, szczepienie przeciw COVID, rozpoznanie zapalenia oka;Zaparciovit, Syropex, Sennostart, Sennostart, Neurospam, Exelix
Natan;Pietrzak;polska;13.02.1998;Szczytna;98021393733;513314418;Gdańsk, ul.Kunickiego 51/6;131;rozpoznanie zapalenia oka, rozpoznanie zapalenia oka, rozpoznanie grypy, wizyta kontrolna;Tabletex, Katarix, Sennostart, Eltroxin, Formetic, Cholerox
Nina;Woźniak;polska;21.09.1932;Żelechów;32092177669;576681617;Gdańsk, ul.Kupiecka 36/3;132;rozpoznanie anginy, rozpoznanie zapalenia ucha, rozpoznanie zapalenia ucha, rozpoznanie grypy;Formetic, Nerwostop, Sennostart, Szelazo, Uroksyt, Uranox
Norbert;Błaszczyk;polska;11.10.1979;Łęczna;79101119250;563054623;Gdańsk, ul.Kurkowa 44/12;133;teleporada, rozpoznanie zapalenia ucha, rozpoznanie zapalenia oka, rozpoznanie ospy;Letrox, Exelix, Biegunex, Zaparciovit, Cholerox, Uroksyt
Oksana;Szulc;polska;26.06.2000;Bełchatów;00262695080;741762502;Gdańsk, ul.Kurza 24/14;134;wizyta kontrolna, szczepienie przeciw grypie, rozpoznanie zapalenia oka, rozpoznanie anginy;Neurospam, Neptunox, Letrox, Neptunox, Sennostart, Luxon
Oktawia;Jaworska;polska;04.09.1949;Radom;49090422820;915269775;Gdynia, ul.Kuśnierska 34/13;135;rozpoznanie zapalenia ucha, teleporada, wizyta kontrolna, rozpoznanie zapalenia zatok;Biegunex, Luxon, Nerwostop, Letrox, Szelazo, Pigulex
Ola;Sikora;polska;14.07.2020;Błonie;20271450928;666724465;Gdańsk, ul.Kuźnia Wodna 35/15;136;rozpoznanie grypy, rozpoznanie grypy, rozpoznanie zapalenia zatok, rozpoznanie grypy;Sennostart, Syropex, Squlex, Szelazo, Luxon, Pryszczosiox
Olaf;Krawczyk;polska;14.03.1967;Węgliniec;67031459557;918508757;Sopot, ul.Legionów 18/5;137;rozpoznanie zapalenia oka, rozpoznanie grypy, szczepienie przeciw grypie, szczepienie przeciw COVID;Kaszelix, Neptunox, Tabletex, Bezanielox, Squlex, Letrox
Otylia;Krajewska;polska;10.06.2006;Gdynia;06261045406;996106404;Gdańsk, ul.Kwietna 66/18;138;wizyta kontrolna, szczepienie przeciw grypie, rozpoznanie grypy, rozpoznanie grypy;Cholerox, Nerwostop, Tabletex, Neurospam, Pigulex, Biegunex
Pamela;Wójcik;polska;16.10.1939;Tomaszów Lubelski;39101697060;727051298;Gdańsk, ul.Kładki 59/3;139;rozpoznanie zapalenia zatok, teleporada, wizyta kontrolna, szczepienie przeciw grypie;Uranox, Zaparciovit, Pythonex, Javonex, Siofor, Dobrovit
Pamela;Szczepańska;polska;08.09.1939;Przemyśl;39090863600;900379651;Gdańsk, ul.Lawendowa 68/11;140;rozpoznanie anginy, rozpoznanie anginy, szczepienie przeciw grypie, rozpoznanie ospy;Dobrovit, Zaparciovit, Siofor, Eltroxin, Cholerox, Luxon
Paulina;Sikora;polska;23.11.1963;Hel;63112350782;597543560;Gdańsk, ul.Latarniana 41/10;141;teleporada, szczepienie przeciw grypie, rozpoznanie grypy, rozpoznanie anginy;Luxon, Uranox, Sennostart, Letrox, Nerwostop, Tabletex
Paweł;Laskowska;polska;24.11.2002;Zelów;02312482754;963110095;Gdańsk, ul.Kłosowa 16/13;142;wizyta kontrolna, rozpoznanie zapalenia ucha, rozpoznanie ospy, rozpoznanie ospy;Luxon, Biegunex, Biegunex, Syropex, Saturnox, Kaszelix
Piotr;Gajewska;polska;18.02.1984;Andrychów;84021837775;733859939;Sopot, ul.Langiewicza 9/4;143;rozpoznanie zapalenia ucha, rozpoznanie zapalenia ucha, rozpoznanie zapalenia zatok, rozpoznanie grypy;Siofor, Neurospam, Cholerox, Luxon,  Xarelto, Katarix
Radosław;Walczak;polska;28.07.1971;Toruń;71072899410;688368651;Gdańsk, ul.Lastadia 46/11;144;szczepienie przeciw COVID, wizyta kontrolna, rozpoznanie anginy, rozpoznanie ospy;Bezanielox, Szelazo, Strzykawex, Pigulex, Uroksyt, Uranox
Roksana;Jakubowska;polska;30.08.1950;Izbica Kujawska;50083018100;897752301;Gdańsk, ul.Obrońców Westerplatte 26/11;145;rozpoznanie anginy, wizyta kontrolna, szczepienie przeciw COVID, szczepienie przeciw grypie;Tabletex, Kaszelix, Modulox, Eltroxin, Nerwostop, Szelazo
Róża;Urbańska;polska;03.02.1961;Kałuszyn;61020322408;697293122;Gdańsk, ul.Obywatelska 4/18;146;rozpoznanie grypy, teleporada, rozpoznanie zapalenia zatok, szczepienie przeciw COVID;Pigulex, Neptunox, Pryszczosiox, Szelazo, Uranox, Siofor
Stanisława;Walczak;polska;06.02.1968;Rypin;68020689403;720547201;Gdynia, ul.Odrzańska 28/16;147;rozpoznanie zapalenia oka, rozpoznanie ospy, wizyta kontrolna, teleporada;Pythonex, Bezanielox, Bezanielox, Modulox, Syropex, Sennostart
Stefania;Gajewska;polska;12.11.2000;Ełk;00311274862;503571571;Gdynia, ul.Ogarna 54/12;148;teleporada, rozpoznanie zapalenia ucha, rozpoznanie zapalenia oka, teleporada;Sennostart, Javonex, Uranox, Tabletex, Syropex, Syropex
Teresa;Kucharska;polska;06.06.2012;Karczew;12260672024;617856529;Gdańsk, ul.Ogrodowa 33/9;149;rozpoznanie ospy, rozpoznanie zapalenia ucha, rozpoznanie ospy, rozpoznanie zapalenia oka;Syropex,  Xarelto, Neptunox,  Xarelto, Exelix, Nerwostop
Wanda;Mazurek;polska;16.05.1944;Włocławek;44051635509;829295949;Gdańsk, ul.Pelplińska 5/11;150;rozpoznanie anginy, rozpoznanie zapalenia zatok, rozpoznanie grypy, rozpoznanie zapalenia ucha;Bezanielox, Luxon, Eltroxin, Zaparciovit, Squlex, Luxon
Weronika;Piotrowski;polska;23.12.1997;Bolków;97122375680;763048222;Gdańsk, ul.Piastowska 44/6;151;teleporada, wizyta kontrolna, rozpoznanie anginy, rozpoznanie anginy;Dobrovit, Sennostart, Sennostart, Uroksyt, Biegunex, Letrox
Żaneta;Sawicki;polska;18.05.2018;Gdynia;18251811425;884067339;Gdańsk, ul.Poznańska 14/2;152;teleporada, rozpoznanie grypy, wizyta kontrolna, rozpoznanie zapalenia oka;Uranox, Modulox, Letrox, Javonex, Formetic
Anna;Starogardzka;polska;11.01.2001;Konin;12345678912;123456789;Gdańsk, ul.Czarna 10/15;153;;
Jan;Nowak;polska;12.02.1999;Warszawa;89067845632;456738901;Gdańsk, ul.Tetmajera 1/2;154;;
Olga;Biała;polska;12.04.1998;Kraków;12367834612;345237298;Gdańsk, ul.Zielona 1/2;155;;
